영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액
귀멸의 칼날: 도공 마을 적습편,소토자키 하루오,일본,2025-07-25,애니메이션,,
귀멸의 칼날: 도공 마을 이어진 인연편,소토자키 하루오,일본,2025-07-25,애니메이션,,
조카의 물건에 느껴버린 욕구불만 아내,게도 하루히코,일본,2025-07-23,드라마,,
방문 판매원의 스킬에 젖어버린 유부녀,게도 하루히코,일본,2025-07-23,드라마,,
이사,소마이 신지,일본,2025-07-23,드라마,,
오키나와 블루노트,조성규,한국,2025-07-23,드라마,,
아이 킬 유,유하,한국,2025-07-23,액션,,
비밀의 화원,김성환,한국,2025-07-23,드라마,,
뮤지컬 오지게 재밌는 가시나들,,한국,2025-07-23,뮤지컬,,
망국전쟁 : 뉴라이트의 시작,,한국,2025-07-23,다큐멘터리,,
대탈출 : 더 스토리 특별판,,한국,2025-07-23,어드벤처,,
8과 1/2,페데리코 펠리니,이탈리아,2025-07-23,드라마,,
명탐정 코난: 척안의 잔상,시게하라 카츠야,일본,2025-07-16,애니메이션,523239.0,5148402960.0
극장판 도라에몽: 진구의 그림이야기,테라모토 유키요,일본,2025-07-16,애니메이션,48057.0,398395500.0
소주전쟁,,한국,2025-05-30,드라마,271980.0,2549522990.0
갈릴리 예수,,미국,2020-11-26,다큐멘터리,4718.0,38929850.0
무명 無名,유진주,한국,2025-06-25,다큐멘터리,59231.0,558705200.0
"빛의 혁명, 민주주의를 지키다",,한국,2025-05-30,다큐멘터리,,
씨그널: 바다의 마지막 신호,"박정례, 이지윤",한국,2025-07-16,다큐멘터리,,
킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,히시다 마사카즈,일본,2025-07-18,애니메이션,,
스파이에어 저스트 라이크 디스 2024,,일본,2025-07-18,공연,,
귀멸의 칼날: 환락의 거리 잠입편,소토자키 하루오,일본,2025-07-18,애니메이션,,
귀멸의 칼날: 환락의 거리 결전편,소토자키 하루오,일본,2025-07-18,애니메이션,,
2024 태민 월드 투어 [이페머럴 게이즈],,한국,2025-07-18,공연,,
이상한 집,이시카와 준이치,일본,2025-07-17,스릴러,,
구마수녀 - 들러붙었구나,노홍진,한국,2025-07-17,공포(호러),,
우리들의 교복시절,촹칭션,대만,2025-07-11,드라마,,
하이파이브,강형철,한국,2025-05-30,코미디,1876330.0,17407288770.0
약물 중독 환자로 인해 타락하는 청순 간호사,키토루네 가와구치,일본,2025-07-16,드라마,,
절친의 거유 아내를 탐하고 조련하는 친구,,일본,2025-07-16,드라마,,
킹 오브 킹스,장성호,한국,2025-07-16,애니메이션,730125.0,6924338386.0
커미션,신재민,한국,2025-07-16,미스터리,,
일과 날,"박민수, 안건형",한국,2025-07-16,다큐멘터리,,
미세리코르디아,알랭 기로디,"프랑스,스페인,포르투갈",2025-07-16,드라마,,
메간 2.0,제라드 존스톤,미국,2025-07-16,공포(호러),15892.0,152101550.0
꿈꾸는 사진관,정초신,한국,2025-07-16,드라마,,
1승,신연식,한국,2024-12-04,드라마,316483.0,2766937830.0
남색대문,이치엔,대만,2021-08-18,드라마,,
봄밤,강미자,한국,2025-07-09,드라마,,
쥬라기 월드: 새로운 시작,가렛 에드워즈,미국,2025-07-02,어드벤처,2162558.0,20609979110.0
탈명검: 첩혈강호,,중국,2022-02-15,액션,,
내가 누워있을 때,최정문,한국,2025-05-28,드라마,,
노이즈,김수진,한국,2025-06-25,공포(호러),1637855.0,16064564810.0
"하이큐!! 리에프 등장! & VS""낙제점""",미츠나카 스스무,일본,2025-07-31,애니메이션,,
하이브 시네마 노래방,,한국,2025-07-10,기타,,
투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',,한국,2025-07-10,공연,,
영화 코바야시네 메이드래곤 외로움쟁이 용,이시하라 타츠야,일본,2025-07-10,애니메이션,,
엔하이픈 월드 투어 '페이트',,한국,2025-07-10,공연,,
세븐틴 월드 투어 '비 더 선',,한국,2025-07-10,공연,,
방탄소년단 '맵 오브 더 소울 : 원',,한국,2025-07-10,공연,,
여름이 지나가면,장병기,한국,2025-07-09,드라마,,
발코니의 여자들,노에미 멜랑,프랑스,2025-07-09,코미디,,
슈퍼맨,제임스 건,미국,2025-07-09,액션,841255.0,8505481900.0
뮤지컬 라파치니의 정원,,한국,2025-07-09,공연,,
괴기열차,탁세웅,한국,2025-07-09,공포(호러),92535.0,860619210.0
영면,"이승호, 서오름, 방성훈, 이세영",한국,2021-07-01,드라마,,
자기만의 방,오세호,한국,2024-11-20,가족,,
