제목,감독,국가,개봉일,평점,장르
explained,,,2015-09-25,0.0,
fear street part 3: 1666,,,2021-07-14,7.105,
johnny test,,,2016-07-10,5.6,
naomi osaka,,,2016-08-24,5.7,
the beguiled,,,2017-06-23,5.9,
the book of henry,,,2017-06-16,7.513,
the twilight saga: breaking dawn: part 1,,,2015-03-12,6.8,
the twilight saga: breaking dawn: part 2,,,2015-03-12,6.8,
the twilight saga: eclipse,,,2015-03-12,6.8,
the twilight saga: new moon,,,2015-03-12,6.8,
twilight,,,2015-03-12,6.8,
a perfect fit,,,2021-07-15,7.254,
beastars,,,2015-09-30,5.776,
emicida: amarelo - live in são paulo,,,,,
her private life,,,2018-10-05,6.905,
lift like a girl,,,2020-09-11,5.3,
my amanda,,,2021-07-15,5.7,
never have i ever,,,2018-01-28,0.0,
surf's up,,,2019-08-15,0.0,
the unknown saint,,,2020-01-01,6.3,
this changes everything,,,2015-09-10,6.1,
a classic horror story,,,2021-07-01,5.842,
gunpowder milkshake,,,2021-07-14,6.293,
heist,,,2015-11-13,6.1,
my unorthodox life,,,2015-09-09,6.0,
private network: who killed manuel buendía?,,,2021-07-14,7.3,
the guide to the perfect family,,,2021-07-14,6.495,
american woman,,,2018-06-07,6.408,
bridgerton - the afterparty,,,2015-12-06,6.3,
day of destiny,,,2021-10-30,3.5,
ridley jones,,,2015-06-11,5.8,
born to play,,,2020-07-01,1.0,
american ultra,,,2015-08-19,6.1,
the stand-up,,,2019-12-13,6.0,
the tour,,,2020-03-01,0.0,
atypical,,,2020-06-30,6.0,
biohackers,,,2015-01-01,0.0,
fear street part 2: 1978,,,2021-07-08,7.2,
finding hubby,,,2020-12-04,2.7,
how i became a superhero,,,2020-11-19,6.106,
how to become a tyrant,,,2020-10-04,0.0,
last summer,,,2018-06-07,6.7,
lee su-geun: the sense coach,,,2021-07-09,2.5,
lethal love,,,2016-12-08,3.8,
ratchet and clank,,,2016-04-13,5.747,
the cook of castamar,,,2016-09-25,4.857,
virgin river,,,2015-08-28,10.0,
back to q82,,,2017-01-16,4.0,
elize matsunaga: once upon a crime,,,2018-01-01,0.0,
home again,,,2017-09-07,6.1,
midnight sun,,,2018-03-22,7.817,
resident evil: infinite darkness,,,2015-04-11,5.239,
rock the kasbah,,,2015-10-22,5.4,
awon boyz,,,2015-08-14,5.723,
brick mansions,,,2015-09-05,5.6,
cat people,,,2016-04-22,5.944,
clash,,,2016-07-27,7.436,
dogs,,,2016-09-23,6.167,
major grom: plague doctor,,,2021-04-01,6.7,
mama drama,,,2020-10-01,0.0,
tango with me,,,2016-09-09,5.423,
the mire,,,2015-01-04,6.767,
the war next-door,,,2015-09-10,6.661,
therapy,,,2016-07-25,4.6,
this little love of mine,,,2021-04-22,6.1,
three thieves,,,2019-10-04,8.0,
a land imagined,,,2019-02-06,6.0,
ask the storybots,,,2015-10-10,6.0,
between,,,2016-11-25,7.082,
chelsea,,,2019-05-24,5.9,
code lyoko,,,2015-10-23,6.0,
colony,,,2019-02-01,6.878,
cuckoo,,,2015-11-12,6.2,
derry girls,,,2016-10-28,4.0,
girl from nowhere,,,2017-09-29,4.45,
good morning call,,,2017-07-27,6.0,
har kisse ke hisse: kaamyaab,,,2017-01-30,5.5,
i am a killer,,,2015-03-22,0.0,
i think you should leave with tim robinson,,,,,
kim's convenience,,,2015-10-02,5.8,
larva,,,2016-11-25,7.8,
marcella,,,2015-09-05,5.6,
midnight diner: tokyo stories,,,2015-12-26,0.0,
my little pony: friendship is magic,,,2015-04-10,7.3,
orange is the new black,,,2015-12-12,7.3,
puffin rock,,,2016-05-07,0.0,
rehmataan,,,2015-09-05,5.6,
richie rich,,,2017-12-08,4.1,
rise: ini kalilah,,,2016-03-26,6.28,
scream,,,2021-04-12,0.0,
shtisel,,,2015-01-04,6.767,
si doel the movie 2,,,2019-06-04,6.167,
some assembly required,,,2017-01-26,4.9,
tales by light,,,2015-05-10,0.0,
terrace house: opening new doors,,,2015-12-01,8.3,
the a list,,,2015-05-26,5.0,
the new legends of monkey,,,2015-09-09,7.058,
the worst witch,,,2015-06-23,7.0,
truckbhar swapna,,,2018-08-24,10.0,
undercover,,,2018-10-17,0.0,
workin' moms,,,2016-12-30,7.3,
yoohoo to the rescue,,,2020-12-18,6.8,
you are my spring,,,2016-11-03,0.0,
we the people,,,2016-06-11,0.0,
grey's anatomy,,,2015-09-08,0.0,
big timber,,,2015-02-27,5.0,
fear street part 1: 1994,,,2021-06-28,6.7,
haseen dillruba,,,2021-06-30,6.798,
holiday on mars,,,2020-12-13,3.257,
mortel,,,2015-11-10,2.0,
rattlesnake - the ahanna story,,,2020-11-13,5.0,
snowpiercer,,,2015-10-09,5.0,
the 8th night,,,2021-07-02,6.128,
winchester,,,2018-02-02,5.889,
6 bullets,,,2018-07-25,0.0,
audible,,,2021-04-29,6.905,
austin powers in goldmember,,,2016-02-03,6.625,
bureau of magical things,,,2015-11-11,0.0,
charlie's angels,,,2019-11-14,6.402,
dreamy eyes,,,2019-12-20,6.7,
dynasty warriors,,,2021-04-27,5.9,
generation 56k,,,2018-12-05,0.0,
hampstead,,,2017-06-23,6.01,
kung fu panda,,,2016-01-23,6.917,
kung fu panda 2,,,2016-01-23,6.917,
life as we know it,,,2015-09-09,6.0,
mary magdalene,,,2018-03-15,6.314,
masameer county,,,2015-04-21,5.313,
memoirs of a geisha,,,2016-10-20,7.3,
mobile suit gundam hathaway,,,2021-06-11,7.3,
mother's day,,,2016-04-28,6.0,
no strings attached,,,2016-07-21,0.0,
not another teen movie,,,2017-12-08,6.636,
ophelia,,,2017-06-18,2.0,
quarantine tales,,,2020-12-18,6.9,
rainbow rangers,,,2015-10-10,6.0,
red joan,,,2018-09-13,6.655,
sailor moon crystal,,,2015-03-13,7.0,
seven pounds,,,2015-04-24,4.0,
she's out of my league,,,2020-10-22,6.941,
snow day,,,2016-11-25,7.0,
star trek,,,2015-09-30,5.776,
sword of trust,,,2019-07-12,5.908,
talladega nights: the ballad of ricky bobby,,,2016-10-06,4.35,
the american,,,2021-04-19,8.0,
the best of enemies,,,2015-07-31,7.162,
the life of david gale,,,2015-09-09,6.0,
the queen,,,2016-04-02,0.0,
the strangers,,,2017-06-23,6.0,
the sum of all fears,,,2016-09-01,7.1,
the tourist,,,2021-05-19,6.276,
underworld,,,2019-11-01,4.9,
underworld: awakening,,,2015-07-07,3.7,
underworld: rise of the lycans,,,2016-02-19,5.82,
voiceless,,,2016-10-07,2.5,
working title,,,2017-07-22,1.0,
young royals,,,2015-02-11,4.9,
america: the motion picture,,,2021-06-30,5.7,
deranged,,,2017-10-28,8.0,
droppin' cash: los angeles,,,2015-07-20,4.3,
legend of exorcism,,,2015-09-09,7.058,
lying and stealing,,,2019-07-12,5.8,
mommy issues,,,2021-05-07,1.0,
prime time,,,2015-09-18,0.0,
somos.,,,2015-04-15,5.2,
sophie: a murder in west cork,,,,,
the daily life of the immortal king,,,2015-09-09,6.0,
starbeam,,,2015-09-30,5.776,
a way back home,,,2015-10-12,10.0,
killing them softly,,,2016-12-27,6.0,
the seven deadly sins,,,2015-04-24,4.0,
wanted,,,2019-01-19,0.0,
into the wind,,,2018-05-05,5.664,
wonder boy,,,2017-08-03,0.0,
here comes the rain,,,2015-09-25,0.0,
the ice road,,,2021-06-24,6.8,
ray,,,2018-01-04,0.0,
sex/life,,,2015-09-09,6.0,
godzilla singular point,,,2015-05-16,10.0,
jiva!,,,2015-01-04,6.767,
sisters on track,,,2021-06-10,7.3,
the naked director,,,2016-08-24,5.7,
the seventh day,,,2021-03-26,5.2,
good on paper,,,2021-06-23,5.581,
murder by the coast,,,2021-06-23,6.3,
the house of flowers: the movie,,,2021-06-23,7.971,
the parisian agency: exclusive properties,,,2017-11-23,10.0,
too hot to handle,,,2015-08-28,2.0,
broken,,,2016-05-16,4.6,
o vendedor de sonhos,,,2015-09-21,7.0,
osuofia in london,,,,,
osuofia in london ii,,,,,
this is pop,,,2016-09-26,0.0,
#selfie,,,2015-04-11,0.0,
#selfie 69,,,2016-09-16,6.6,
love is a story,,,2015-11-01,7.0,
the mole,,,2015-02-11,7.0,
"nevertheless,",,,2015-04-24,4.0,
bangkok love stories: innocence,,,2015-07-15,6.5,
black lightning,,,2015-11-11,6.6,
call my agent!,,,2015-01-31,0.0,
champions,,,2015-11-06,7.9,
charité at war,,,2015-09-10,6.661,
cleo & cuquin,,,2019-07-25,5.9,
deadwind,,,2018-05-05,5.664,
gameboys level-up edition,,,2015-01-25,0.0,
glee,,,2016-11-25,7.8,
hap and leonard,,,2015-08-03,0.0,
locked up,,,2017-06-20,5.671,
no time for shame,,,2018-06-29,0.0,
pose,,,2015-08-06,6.411,
rea(l)ove,,,2015-07-15,6.5,
riverdale,,,2015-06-29,0.0,
