movieCd,movieNm,audiAcc,salesAcc,targetDt
20200162,소년시절의 너,280407,2582743880,20240927
20226545,한국이 싫어서,46298,396500041,20240903
20240104,이매지너리 ,7233,51290400,20240828
20240669,비틀쥬스 비틀쥬스,100701,996245806,20240912
20244142,레드불 T1 다큐멘터리 : 함께 날아오르다,5022,99395000,20240904
20242541,룩백,270293,2607717414,20241014
20234437,코마다 위스키 패밀리,3390,22773200,20240905
20239670,베테랑2,7514196,72367797714,20241031
20249554,스픽 노 이블,37026,365364210,20240917
20243722,캐시 아웃,4984,41834900,20240912
20243922,우리가 끝이야,3566,22049400,20240913
20243824,오지: 사라진 숲을 찾아서,46784,363898225,20240922
20242495,브레드이발소: 빵스타의 탄생,262251,2261179500,20241027
20243721,정국: 아이 엠 스틸,40763,1018515500,20241002
20249400,새벽의 모든,14535,134765500,20240924
20249899,트랜스포머 ONE,352261,3292701045,20241015
20248492,와일드 로봇,679109,6160505545,20241124
20232949,대도시의 사랑법,875383,8269152910,20241119
20244002, 극장총집편 봇치 더 록! 후편,24625,247677400,20241002
20234613,더 커버넌트,41568,373978850,20241013
20249434,조커: 폴리 아 되,607550,6335425800,20241021
20244001,"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구",35874,305570450,20241006
2022B512,명탐정 코난: 시한장치의 마천루,82745,804597490,20241015
20227979,보통의 가족,643746,5984497370,20241112
20233218,6시간 후 너는 죽는다,50512,513391100,20241118
20040734,노트북,818652,6268446940,20241105
20244364,할머니가 죽기 전 백만장자가 되는 법,4407,31387100,20241010
20244341,너의 색,23395,212227600,20241015
20248553,최소한의 선의,1111,9999000,20241015
20241497,스마일 2,52585,516010570,20241029
20244801,"하이라이트: 라이츠 고 온, 어게인 인 시네마",5289,132203000,20241016
20248129,엘리자벳: 더 뮤지컬 라이브,30447,746426800,20241027
20185249,더러운 돈에 손대지 마라,81253,756823080,20241025
20244944,아이브 더 퍼스트 월드투어 인 시네마,18406,417994000,20241023
20233057,아마존 활명수,603874,5368806780,20241129
20240941,베놈: 라스트 댄스,1759962,17219951588,20241202
20236228,오후 네시,36138,304839600,20241111
20239574,세상 참 예쁜 오드리,3537,33360800,20241024
20244513,룸 넥스트 도어,24033,219812150,20241104
20233217,더 킬러스,6807,46586000,20241025
20245586,집이 없어 - 악연의 시작,1896,1902000,20241025
20244587,리틀 엠마,21245,151284900,20241104
20244945,마이펫의 컴백홈 어드벤처 ,7747,59602450,20241027
20233261,청설,795135,7424405260,20241209
20243696,연소일기,21433,187942120,20241119
20242375,롱레그스,33726,294649100,20241105
20236319,하와이 연가,3852,36421000,20241031
20245399,4분 44초,43216,172838000,20241113
20244257,호두까기 인형과 마술피리,9522,81223850,20241103
20242248,글래디에이터 Ⅱ,901333,8788548940,20241210
20245078,레드 원,52460,525334080,20241112
20245121,데드라인,40209,287618700,20241123
20244912,아노라,68992,683323920,20250311
20247574,아메바 소녀들과 학교괴담: 개교기념일,17560,158946700,20241112
20242170,빌리와 용감한 녀석들: 스노우 베어 구조대,21827,170118700,20241117
20190353,사흘,197965,1857828340,20241126
20241180,"괜찮아, 앨리스",10487,94394200,20241113
20179281,컨택트,650576,5377512051,20241119
20240774,4월이 되면 그녀는,8009,51080600,20241115
20225184,히든페이스,1005171,9522512040,20241223
20245781,극장판 오버로드 성왕국편,2040,19515160,20241114
20247693,위키드,2233786,22058434050,20250203
20245801,나의 히어로 아카데미아 더 무비: 유어 넥스트,66726,650883900,20241207
20247017,대가족,324530,2862931700,20250124
20244903,저니 투 베들레헴,10194,94550500,20241201
20200142,소방관,3836189,36103550170,20250125
20240737,모아나 2,3526383,32567983790,20250121
20245671,백현: 론스달라이트 닷 인 시네마,5987,149673500,20241201
20246484,여름날의 레몬그라스,12162,70045700,20241209
20240513,에드워드 호퍼,7311,59353060,20241203
20212352,1승,313518,2738795730,20241220
20245774,나 혼자만 레벨업 -리어웨이크닝- ,6125,62196100,20241202
20242247,애시드 레인: 죽음의 비,3915,31853500,20241203
20246609,"플레이브 팬 콘서트 ‘헬로, 아스테룸!’ 앙코르 인 시네마",20397,598436500,20241208
20235994,원정빌라,14179,114294700,20241210
19940343,포레스트 검프,24551,182985419,20241210
20244546,"알엠: 라이트 피플, 롱 플레이스",2289,56939000,20241205
20247347,투모로우바이투게더 : 하이퍼포커스 인 시네마,3216,44802500,20241205
20235905,티처스 라운지,6283,57305614,20241210
20244762,서브스턴스,552214,5381102340,20250311
20246381,더 크로우,5423,44519000,20241211
20247430,퍼스트레이디,69175,673094620,20241223
20240193,무파사: 라이온 킹,833832,8188072950,20250119
20245977,극장판 짱구는 못말려: 우리들의 공룡일기,786770,7400869060,20250202
20246939,정동원 성탄총동원 더 무비,6496,162383000,20241218
20228796,하얼빈,4900863,46867384880,20250211
20050082,이터널 선샤인,533153,4103625492,20241224
20246201,니코: 오로라 원정대의 모험,48816,434131340,20241230
20246361,뽀로로 극장판 바닷속 대모험,428486,3672599110,20250429
20101224,해리 포터와 죽음의 성물1,2874043,20445427000,20241227
20244167,수퍼 소닉3,339618,3109068170,20250126
20246777,더 폴: 디렉터스 컷,154705,1593395100,20250222
20190300,보고타: 마지막 기회의 땅,405572,3750120960,20250114
20244850,시빌 워: 분열의 시대,88382,918009130,20250107
20248082,동화지만 청불입니다,164164,1526904040,20250121
20248447,페라리,20833,191831400,20250110
20246266,데드데드 데몬즈 디디디디 디스트럭션: 파트1,7025,57088900,20250108
20000067,러브레터,192218,1634281287,20250108
20235734,폭락,11802,103492900,20250117
20248508,노스페라투,4948,48772400,20250115
20111009,해리 포터와 죽음의 성물2,4443440,34923712100,20250123
20247450,검은 수녀들,1657383,16021588280,20250218
20233006,히트맨2,2535747,23881556680,20250225
20051060,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,168709,1493033540,20250211
20244381,고스트캣 앙주,4161,32942100,20250122
20244604,꼬마 판다 팡의 아프리카 대모험,29036,245405000,20250204
20241110,아이유 콘서트 : 더 위닝,72861,1999959500,20250216
20224303,귀신경찰,52612,464023300,20250207
20223819,말할 수 없는 비밀,811097,7735761680,20250227
20240855,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,40070,369724700,20250209
20216476,브로큰,184882,1713971320,20250213
20175142,극장판 쿠로코의 농구 라스트 게임,74891,577077110,20250212
20248143,데드데드 데몬즈 디디디디 디스트럭션: 파트2,3045,26467700,20250205
20252039,"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마",4617,115421000,20250207
20248559,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,1703,16704460,20250206
20251712,9월 5일: 위험한 특종,9388,89782060,20250211
20242404,캡틴 아메리카: 브레이브 뉴 월드,1652658,16358523186,20250318
20251800,브루탈리스트,72639,726822620,20250306
20126686,미드나잇 인 파리,390943,2910979097,20250215
19988717,명탐정 코난: 14번째 표적,71897,678012940,20250225
20248710,엘리: 몬스터 패밀리,34012,283487700,20250223
20252058,첫 번째 키스,46376,365911400,20250312
20234689,괜찮아 괜찮아 괜찮아! ,105060,935284600,20250311
20252329,패딩턴: 페루에 가다!,119057,1032844200,20250309
20246270,써니데이,7676,66141400,20250220
20252194,영화 이상한 과자 가게 전천당,48745,409053100,20250303
20244361,히어 ,3801,27784620,20250219
20240614,퇴마록,490404,4656067400,20250330
20241093,"그 시절, 우리가 좋아했던 소녀",158879,1420582100,20250309
20252587,이찬원 콘서트 찬가: 디어 마이 찬스,47690,1186278000,20250314
20240147,컴플리트 언노운,54083,521628670,20250311
20236034,백수아파트,32784,291111680,20250303
20252719,힘내라 대한민국,65494,603928340,20250313
20244821,미키 17,3002495,29597898200,20250408
20252975,울프맨,3020,21140000,20250304
20249251,콘클라베,314141,2992126420,20250504
20241389,보더랜드,2371,15550600,20250305
20253113,플레이브 '대쉬' 인 시네마,32702,32702000,20250309
19910237,양들의 침묵,6848,61736400,20250307
20236573,침범,83767,753739300,20250327
20145141,위플래쉬,1717596,13887431845,20250323
20249564,노보케인,27898,251196200,20250318
20249325,에밀리아 페레즈,24727,201040400,20250318
20252551,화이트 버드,13570,100245300,20250318
20252795,제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마,1445,36125000,20250312
20253101,극장판 진격의 거인 완결편 더 라스트 어택,884406,9013127750,20250525
20252023,"초혼, 다시 부르는 노래",4888,47339000,20250314
20252503,200% 울프: 최강 푸들이 될 거야!,12153,92992900,20250316
20216726,스트리밍,97933,944966200,20250328
20243562,백설공주,186475,1753581970,20250406
20244317,고독한 미식가 더 무비,82288,764762280,20250401
20241827,플로우,173558,1662528460,20250428
20253092,악령: 깨어난 시체,32961,384556300,20250325
20203863,승부,2127984,19876180260,20250502
20138661,케이온,17687,155906531,20250326
20252976,3일,5184,5182500,20250320
20251552,컴패니언,14680,144318700,20250324
20233008,로비,257757,2437280740,20250421
20252890,라스트 마일,49141,408123120,20250414
20253297,기동전사 건담 지쿠악스 비기닝,35212,357796950,20250419
20236234,프랑켄슈타인 아버지,1686,15459000,20250331
20249250,브리짓 존스의 일기: 뉴 챕터,42312,387420120,20250429
20060045,스윙걸즈,67133,436214600,20250403
20253093,헤레틱,29400,232793100,20250409
20253233,세븐틴 [라잇 히어] 월드 투어 인 시네마,14728,395921500,20250406
20241910,공포특급,12420,102522100,20250408
20249475,목소리들,8772,81681000,20250403
20251573,미스터 로봇,20824,175704300,20250410
20232394,야당,3370806,31933356030,20250602
20246665,아마추어,94254,885520550,20250422
20171024,너의 췌장을 먹고 싶어,499783,3974807970,20250418
20253200,베러맨,25977,203890400,20250415
20081665,택시 드라이버,7788,68035220,20250416
20252543,드라이브 인 타이페이,16663,148791600,20250417
20253537,백설공주와 일곱난쟁이,21476,188510620,20250420
20235544,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,8004,65405000,20250413
20253236,하보우만의 약속,8319,73491160,20250422
20253591,드롭,2919,20433000,20250415
20249269,마리아,17774,158780660,20250423
20253331,열혈검사,11955,80330600,20250425
20253471,사유리,10727,98209300,20250422
20240561,부전시장,5842,55381300,20250416
20253280,A MINECRAFT MOVIE 마인크래프트 무비,1355645,12718946270,20250603
20253797,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,84265,797874810,20250710
20218800,거룩한 밤: 데몬 헌터스,772903,7167134700,20250520
20253651,압수수색: 내란의 시작,51643,491185600,20250430
20030272,4월 이야기,15092,114402100,20250429
20246298,우리가 빛이라 상상하는 모든 것,7066,68830600,20250429
20240398,파과,543979,5196250500,20250529
20254062,"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",1518,13878500,20250424
20040564,카우보이 비밥-천국의문,1815,17020300,20250425
20253505,스노우 폭스2: 몬스터타운 구하기,35539,287579100,20250506
20253530,시크릿쥬쥬 마법의 하모니,53231,483324460,20250506
20246318,해피엔드,97595,955687350,20250527
20194912,바이러스,68864,618379660,20250515
20244883,썬더볼츠＊,917148,9233106460,20250527
20253924,쫑알쫑알 똘똘이: 이상한 마을 대모험,31436,289136400,20250506
20253595,괴수 8호: 미션 리컨,28833,275434220,20250512
20244971,기동전사 건담 역습의 샤아,8902,82284100,20250509
20254240,에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마 ,3095,77375000,20250507
