제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
허슬러,,,2019-11-27,,35620,289902140
포드 V 페라리,,,2019-12-04,,1323852,11682461980
나이브스 아웃,,,2019-12-04,,795200,6748210330
감쪽같은 그녀,,,2019-12-04,,466928,3580420430
라스트 크리스마스,,,2019-12-05,,246596,2036143730
굿 라이어,,,2019-12-05,,19928,167060640
쥬만지: 넥스트 레벨,,,2019-12-11,,1025799,8555642330
아내를 죽였다,,,2019-12-11,,74840,626251940
카운트다운,,,2019-12-12,,72215,600976500
시동,,,2019-12-18,,3308844,28032088380
백두산,,,2019-12-19,,8242478,69747400040
신비아파트 극장판 하늘도깨비 대 요르문간드,,,2019-12-19,,867161,6843272230
캣츠,,,2019-12-24,,696173,5838643210
천문: 하늘에 묻는다,,,2019-12-26,,1990746,16460386780
눈의 여왕4,,,2019-12-24,,184801,1373733200
프린스 코기,,,2019-12-24,,112330,877404060
미드웨이,,,2019-12-31,,941075,8106506070
21 브릿지: 테러 셧다운 ,,,2020-01-01,,111140,861674730
닥터 두리틀,,,2020-01-08,,1604127,13430495940
스타워즈: 라이즈 오브 스카이워커,,,2020-01-08,,485464,4513763050
해치지않아,,,2020-01-15,,1217492,10226508060
나쁜 녀석들: 포에버,,,2020-01-15,,543095,4844332260
타오르는 여인의 초상,,,2020-01-16,,127125,1064187408
남산의 부장들,,,2020-01-22,,4748005,41206628790
히트맨,,,2020-01-22,,2400805,20570457920
미스터 주: 사라진 VIP,,,2020-01-22,,587819,4947984680
스파이 지니어스 ,,,2020-01-22,,446274,3660123900
클로젯,,,2020-02-05,,1265776,10926131380
버즈 오브 프레이(할리 퀸의 황홀한 해방),,,2020-02-05,,399872,3539761070
극장판 미니특공대: 공룡왕 디노 ,,,2020-02-06,,71671,559526960
조조 래빗,,,2020-02-05,,105411,904708300
페인 앤 글로리,,,2020-02-05,,19008,148008640
정직한 후보,,,2020-02-12,,1529330,12794300850
작은 아씨들,,,2020-02-12,,847954,7150926550
수퍼 소닉,,,2020-02-12,,113356,890164390
지푸라기라도 잡고 싶은 짐승들,,,2020-02-19,,618938,5371297170
1917,,,2020-02-19,,858815,7767825320
"하이, 젝시",,,2020-02-19,,21718,175102500
인비저블맨,,,2020-02-26,,566214,4939009380
젠틀맨,,,2020-02-26,,71305,576990470
더 보이 2: 돌아온 브람스 ,,,2020-03-05,,22973,208118000
울프 콜,,,2020-03-05,,13914,116925020
다크 워터스 ,,,2020-03-11,,125718,1083721220
세인트 아가타 ,,,2020-03-19,,9666,86641940
메멘토,,,2001-08-24,,46024,342898300
주디,,,2020-03-25,,88718,729693480
스케어리 스토리:어둠의 속삭임 ,,,2020-03-25,,42506,358118500
사랑하고 있습니까,,,2020-03-25,,8749,69140360
엽문4: 더 파이널,,,2020-04-01,,65832,572383600
n번째 이별 중,,,2020-04-01,,18935,171145900
더 터닝 ,,,2020-04-02,,15305,135135360
오픈 더 도어 ,,,2020-04-08,,24024,219290100
신과 나: 100일간의 거래,,,2020-04-08,,5780,49544640
서치 아웃,,,2020-04-15,,31624,276920520
건즈 아킴보,,,2020-04-15,,26820,235929000
비밀정보원: 인 더 프리즌 ,,,2020-04-15,,17835,153118320
유령선,,,2020-04-15,,15591,139011300
라라걸,,,2020-04-15,,6430,57124940
애프터 웨딩 인 뉴욕 ,,,2020-04-23,,6794,57519880
시네마 천국,,,1990-07-07,,42622,268935700
트롤: 월드 투어,,,2020-04-29,,144410,1110798520
나의 청춘은 너의 것,,,2020-04-29,,80873,684834420
저 산 너머,,,2020-04-30,,93831,699868580
호텔 레이크,,,2020-04-29,,61129,517984060
마이 스파이,,,2020-04-29,,51332,439352600
패왕별희 디 오리지널,,,2017-03-30,,139073,1280417482
레이니 데이 인 뉴욕,,,2020-05-06,,84144,747813040
